city,confirmedCount,curedCount,deadCount,province,suspectedCount,updateTime
全国,40261,3470,909,全国,23589.0,2020-02-10
全国,37289,2900,813,全国,28942.0,2020-02-09
全国,34673,2375,724,全国,27657.0,2020-02-08
全国,31264,1753,637,全国,26359.0,2020-02-07
全国,28138,1373,564,全国,24702.0,2020-02-06
全国,24434,1018,493,全国,23260.0,2020-02-05
全国,20530,718,426,全国,23214.0,2020-02-04
全国,17341,527,361,全国,21558.0,2020-02-03
全国,14490,434,304,全国,19544.0,2020-02-02
全国,11901,275,259,全国,17988.0,2020-02-01
全国,9811,214,213,全国,15238.0,2020-01-31
全国,8149,135,171,全国,12167.0,2020-01-30
全国,6095,119,133,全国,9239.0,2020-01-29
全国,4630,73,106,全国,6973.0,2020-01-28
全国,2857,56,82,全国,5794.0,2020-01-27
全国,2076,49,56,全国,2692.0,2020-01-26
全国,1408,39,42,全国,2032.0,2020-01-25
全国,897,36,26,全国,1076.0,2020-01-24
上海市,299,48,1,上海市,0.0,2020-02-10
外地来沪人员,97,21,1,上海市,0.0,2020-02-10
浦东新区,56,9,0,上海市,0.0,2020-02-10
宝山区,18,0,0,上海市,0.0,2020-02-10
闵行区,17,2,0,上海市,0.0,2020-02-10
静安区,16,3,0,上海市,0.0,2020-02-10
徐汇区,16,1,0,上海市,0.0,2020-02-10
松江区,14,0,0,上海市,0.0,2020-02-10
长宁区,11,2,0,上海市,0.0,2020-02-10
奉贤区,9,1,0,上海市,0.0,2020-02-10
普陀区,8,0,0,上海市,0.0,2020-02-10
嘉定区,8,1,0,上海市,0.0,2020-02-10
虹口区,7,1,0,上海市,0.0,2020-02-10
杨浦区,7,0,0,上海市,0.0,2020-02-10
青浦区,5,2,0,上海市,0.0,2020-02-10
黄浦区,5,1,0,上海市,0.0,2020-02-10
金山区,3,0,0,上海市,0.0,2020-02-10
崇明区,2,0,0,上海市,0.0,2020-02-10
待明确地区,0,4,0,上海市,0.0,2020-02-10
上海市,293,44,1,上海市,0.0,2020-02-09
外地来沪人员,97,21,1,上海市,0.0,2020-02-09
浦东新区,56,9,0,上海市,0.0,2020-02-09
宝山区,17,0,0,上海市,0.0,2020-02-09
静安区,16,3,0,上海市,0.0,2020-02-09
徐汇区,16,1,0,上海市,0.0,2020-02-09
闵行区,14,2,0,上海市,0.0,2020-02-09
松江区,14,0,0,上海市,0.0,2020-02-09
长宁区,11,2,0,上海市,0.0,2020-02-09
奉贤区,9,1,0,上海市,0.0,2020-02-09
普陀区,8,0,0,上海市,0.0,2020-02-09
虹口区,7,1,0,上海市,0.0,2020-02-09
杨浦区,7,0,0,上海市,0.0,2020-02-09
嘉定区,7,1,0,上海市,0.0,2020-02-09
青浦区,5,2,0,上海市,0.0,2020-02-09
黄浦区,5,1,0,上海市,0.0,2020-02-09
金山区,2,0,0,上海市,0.0,2020-02-09
崇明区,2,0,0,上海市,0.0,2020-02-09
上海市,286,41,1,上海市,0.0,2020-02-08
外地来沪人员,96,20,1,上海市,0.0,2020-02-08
浦东新区,53,8,0,上海市,0.0,2020-02-08
宝山区,17,0,0,上海市,0.0,2020-02-08
徐汇区,16,1,0,上海市,0.0,2020-02-08
静安区,15,3,0,上海市,0.0,2020-02-08
闵行区,14,2,0,上海市,0.0,2020-02-08
松江区,14,0,0,上海市,0.0,2020-02-08
长宁区,11,1,0,上海市,0.0,2020-02-08
奉贤区,9,1,0,上海市,0.0,2020-02-08
虹口区,7,1,0,上海市,0.0,2020-02-08
杨浦区,7,0,0,上海市,0.0,2020-02-08
普陀区,7,0,0,上海市,0.0,2020-02-08
嘉定区,6,1,0,上海市,0.0,2020-02-08
青浦区,5,2,0,上海市,0.0,2020-02-08
黄浦区,5,1,0,上海市,0.0,2020-02-08
金山区,2,0,0,上海市,0.0,2020-02-08
崇明区,2,0,0,上海市,0.0,2020-02-08
待明确地区,3,11,0,上海市,0.0,2020-02-08
未知地区,3,5,0,上海市,0.0,2020-02-08
上海市,277,30,1,上海市,166.0,2020-02-07
外地来沪人员,93,14,1,上海市,0.0,2020-02-07
浦东新区,52,6,0,上海市,0.0,2020-02-07
宝山区,16,0,0,上海市,0.0,2020-02-07
徐汇区,16,0,0,上海市,0.0,2020-02-07
静安区,15,2,0,上海市,0.0,2020-02-07
松江区,13,0,0,上海市,0.0,2020-02-07
闵行区,12,1,0,上海市,0.0,2020-02-07
长宁区,11,0,0,上海市,0.0,2020-02-07
奉贤区,9,0,0,上海市,0.0,2020-02-07
虹口区,7,0,0,上海市,0.0,2020-02-07
杨浦区,7,0,0,上海市,0.0,2020-02-07
普陀区,7,0,0,上海市,0.0,2020-02-07
青浦区,5,1,0,上海市,0.0,2020-02-07
黄浦区,5,1,0,上海市,0.0,2020-02-07
嘉定区,5,0,0,上海市,0.0,2020-02-07
金山区,2,0,0,上海市,0.0,2020-02-07
崇明区,2,0,0,上海市,0.0,2020-02-07
上海市,257,25,1,上海市,0.0,2020-02-06
外地来沪人员,89,14,1,上海市,0.0,2020-02-06
浦东新区,47,6,0,上海市,0.0,2020-02-06
宝山区,15,0,0,上海市,0.0,2020-02-06
静安区,14,2,0,上海市,0.0,2020-02-06
徐汇区,14,0,0,上海市,0.0,2020-02-06
